site,EPS,BGNf,Hf,NDSI,rBA,ADI,AEI,pred,component1_prob,component2_prob,component3_prob,component4_prob,component5_prob
RZUE06,0.0715739903724659,-45.611188401633896,0.674492548528713,0.9075219822607665,20.62686667016535,1.8708038192485499,0.347909903948875,1,3.423653328010451e-179,1.0,0.0,0.0,0.0
RZUE07,0.06210367210601475,-44.48971151124485,0.6645005717375869,0.8003283572749904,9.057689637600035,2.035647110480375,0.163896139376698,1,0.0,1.0,0.0,0.0,0.0
RZUE08,0.0719300889915421,-44.97325130549565,0.691585188515089,0.9030366276791615,19.6263479651423,2.076726503766265,0.0406890820737416,1,1.409827438078956e-187,1.0,0.0,0.0,0.0
RZUE09,0.07435215875391354,-44.70034044070225,0.652490575427361,0.9582380517600726,46.89086014691409,2.074351012204815,0.0564443044677014,0,1.0,0.0,0.0,0.0,0.0
RZUE10,0.0384658409984284,-39.5782169645424,0.624472830867981,0.9461714365499889,36.15785444330505,2.07892398126662,0.0178052600601277,1,3.056288491150133e-28,1.0,0.0,0.0,0.0
RZUE11,0.08185241930374265,-41.0350383961609,0.6377270872213445,0.9619876085351765,51.6146242416319,2.034832475617415,0.16424953163405198,0,0.9882724110536122,0.011727588946387198,0.0,0.0,0.0
RZUE12,0.0797535779326287,-35.2201383185299,0.553054133827425,0.98896184413049,180.189686360974,2.024337307402,0.184002591555995,3,0.0,0.0,0.0,1.0,1.0
RZUE13,0.10567376293563499,-33.85510914891975,0.66741095470966,0.9292011414547205,27.24913996715875,1.9048697849115301,0.306446363665693,1,3.2258434714741183e-85,1.0,0.0,0.0,0.0
RZUF02,0.06379623237138575,-27.971502462829648,0.6772613344379514,0.91847803858961,23.53468928733985,1.81773213671371,0.38046694826316,1,9.88936958584267e-209,1.0,0.0,0.0,0.0
RZUF03,0.0831982925286634,-38.050107321458796,0.5620935455062485,0.817976531437798,9.98779927514759,2.039594940684995,0.1573470419252735,1,0.0,1.0,0.0,0.0,0.0
RZUF05,0.0616651157429708,-42.0742252532122,0.7223920411096265,0.955580714831715,44.025906035102,2.0763165862906448,0.04339989332803495,0,1.0,0.0,0.0,0.0,0.0
RZUF06,0.076598849104749,-44.5129428723161,0.760757866213467,0.801580238271734,9.07964117374044,2.07914370020049,0.0131410368435079,1,0.0,1.0,0.0,0.0,0.0
RZUF07,0.0886005773183688,-44.1117586771569,0.58730430948814,0.959552065519545,48.4462826270255,2.07656643543441,0.0424728183321705,0,1.0,0.0,0.0,0.0,0.0
RZUF08,0.07642837359933585,-47.7493383003393,0.678926144657941,0.8782631637792175,15.42892033990945,2.055327983066125,0.1212611829408985,1,0.0,1.0,0.0,0.0,0.0
RZUF09,0.0404717445361546,-37.02487988752415,0.66484351246429,0.980284911904622,100.4453789747335,2.076539283544525,0.042429131727328345,2,5.133778151989896e-44,0.0,1.0,0.0,0.0
RZUF10,0.0720153945079823,-46.0468491708788,0.640450333544874,0.887575284421516,16.7896825418588,1.99232929552275,0.232309278191397,1,0.0,1.0,0.0,0.0,0.0
RZUF11,0.129921516424427,-48.2060289763293,0.706083408156758,0.786617393170408,8.37283516082081,2.06358098163024,0.10121332125967,1,0.0,1.0,0.0,0.0,0.0
