site,EPS,BGNf,Hf,NDSI,rBA,ADI,AEI,pred,component1_prob,component2_prob,component3_prob,component4_prob
RZUF03,0.058541534132448544,-44.4660906181168,0.7324510413484604,0.312413958820667,1.90873358550185,2.06937197692899,0.07761615330619145,3,0.0,1.31993854800573e-11,0.0,0.9999999999868008
RZUF04,0.0325602750961423,-51.6187190351959,0.855691127611619,0.150226702150868,1.35356889309445,2.07933236003602,0.0083160863599152,3,0.0,1.1935817356521605e-45,0.0,1.0
RZUF05,0.0380777026001158,-50.536503073169,0.728119252746016,0.328228353393201,1.9772021640125,2.07903700871076,0.0157112844442,3,0.0,1.3043670279151366e-10,0.0,0.999999999869563
RZUF06,0.0158255271684355,-50.3040957924696,0.822887647659765,0.275008809742749,1.75865421108129,2.07927767490731,0.0099742908629074,3,0.0,4.9851284144325974e-29,0.0,1.0
RZUF07,0.04887810290518155,-44.92914072513645,0.586873638035122,0.928509079072486,26.976276916862453,2.078791580416275,0.02026248657359285,0,1.0,9.006238859981531e-33,9.775407130280382e-61,0.0
RZUF08,0.0426653144712113,-48.6982944422428,0.689974426820384,0.138966654962142,1.3227904140136,2.05102527694334,0.128081570796497,3,0.0,1.071937434510155e-30,0.0,1.0
RZUF09,0.0301324773740536,-39.3185849215052,0.651209990248643,0.970022950252089,65.7177062725914,2.0776445213149,0.0331294790656254,2,7.201666346504933e-247,0.0,1.0,0.0
RZUF10,0.038671133110043,-45.3678876621849,0.719236090414515,0.111651644484273,1.25136905762482,2.05614062911199,0.120502001111657,3,0.0,4.214087537316526e-36,0.0,1.0
RZUF11,0.06705923591741875,-44.7982456980975,0.7186349703949265,-0.1508709602841405,0.73781445565281,2.04873337021399,0.1350190036723835,3,0.0,1.9989616528659407e-75,0.0,1.0
RZUF12,0.0450531468476323,-40.3234296271909,0.698293894520602,0.913162868057916,22.031622017801,2.07752965075096,0.0344320618011153,0,1.0,5.071632633957618e-18,9.016832668703561e-159,0.0
RZUF13,0.04778447063598355,-40.0120705390877,0.5978913929316294,0.9396242753304724,32.1289987420178,2.077437642014865,0.03408037691328935,0,0.9999999999811457,3.315429343363489e-61,1.8854989977067196e-11,0.0
RZUG02,0.0494683621760833,-43.502386706589604,0.59645835240395,0.9307172277546281,27.86751031386195,2.07830071129602,0.0261926524074112,0,1.0,4.72708282603194e-38,1.3504257423294901e-45,0.0
RZUG03,0.05616601532583475,-42.5651061938992,0.675805300887289,0.926747063596759,26.3028545794703,2.0783661041492003,0.025633855092154552,0,1.0,3.6091803535178595e-31,5.181531402975282e-75,0.0
RZUG04,0.055023457524487604,-45.56368611888665,0.6660154795600906,0.722734503665175,6.213327214736784,2.04324954632032,0.14615310569878098,1,0.0,1.0,0.0,6.600497368850095e-60
RZUG05,0.025677447071797,-48.2547900271523,0.736908555561898,0.404226204382133,2.35697879750793,2.07058709715695,0.0726363891447352,3,0.0,1.2697622481445926e-09,0.0,0.9999999987302379
RZUG06,0.02940080220720885,-42.3826353561162,0.7743831385540314,0.15427641932636849,1.3648428144868099,2.079420119929975,0.00341466655613285,3,0.0,1.2360693909380975e-26,0.0,1.0
RZUG07,0.0602085425010184,-44.8291895972026,0.736343695313329,0.749529188266651,6.98496305748401,2.075720182958865,0.048022773997604004,1,3.3550930869104783e-289,1.0,0.0,6.169689877075842e-86
RZUG08,0.0499183481343759,-46.1034111535974,0.700757934974235,0.415982688766397,2.42455602176493,2.05682586149292,0.115569197417672,3,0.0,2.551869432126058e-05,0.0,0.9999744813056791
RZUG09,0.0379510194815375,-46.7532110564528,0.72293562018241,0.476326996970724,2.81917721255565,2.0716789030999,0.067485899216237,3,0.0,0.014289010095867843,0.0,0.985710989904132
RZUG10,0.0555569907079037,-42.0115399406284,0.734859226275622,0.586495315860316,3.83670458089512,2.07465149482127,0.0533215807218122,1,0.0,0.9999998710587986,0.0,1.2894120068019353e-07
RZUG11,0.0735771618079129,-38.42994167388555,0.655618420140945,0.8545511047993205,12.750569293678101,2.04070661753451,0.1493349477579925,1,1.7839671625013033e-19,1.0,0.0,0.0
RZUG12,0.0589393868235412,-32.1087002708501,0.722803116775375,0.536667789459291,3.3165572228747,2.02560209094783,0.179336334390041,1,0.0,0.9991724032144875,0.0,0.0008275967855123026
RZUG13,0.05213887277168715,-36.208716449490296,0.73113659817367,0.9592053617710825,48.0262334401002,2.0762010957898402,0.0439947183380789,2,1.440357820499099e-58,1.3239084272951188e-221,1.0,0.0
RZUH02,0.0670803690715127,-35.4357504979659,0.763124788764403,0.872287156967746,14.660132156755,2.04179519095512,0.149601901244565,1,2.151453094384885e-09,0.9999999978485472,0.0,0.0
RZUH03,0.03556869354295005,-47.2646490129434,0.6542805635673905,0.531730723353022,3.27116290604547,2.07748779733761,0.03480271453470705,1,0.0,0.9999997749723488,0.0,2.2502765132483213e-07
RZUH04,0.03730192548091515,-35.840170778695494,0.749228058180079,0.6320861903791265,4.4360559490622755,2.079228257117065,0.0113176083669263,1,0.0,1.0,0.0,1.785044093385609e-16
RZUH05,0.02585289530925065,-44.595489448378856,0.6918724444481895,-0.389748661480783,0.439109576381268,2.04971340377072,0.1293265824773555,3,0.0,7.369315956513606e-143,0.0,1.0
RZUH06,0.0782404885677849,-48.2666095585201,0.710103388146519,0.700610823032384,5.68026820560829,2.06724737792698,0.0859920702370349,1,0.0,1.0,0.0,1.9154825364093057e-36
RZUH07,0.0408622463479449,-39.4794779799456,0.653740532472119,0.955615352400455,44.0606258732695,2.07829647791333,0.0257068653679828,2,6.55657544532747e-30,2.9933011658969513e-166,1.0,0.0
RZUH08,0.05268767082663415,-64.35956594652404,0.8252441353109785,-0.3433824824277275,0.488779349784798,2.0790972493232047,0.0147917510791674,3,0.0,2.8342316578523506e-160,0.0,1.0
RZUH09,0.0447379615712098,-37.7405213318471,0.710368083345074,0.92497787317914,25.6588016729473,2.0659584313032,0.0880509374659091,0,1.0,2.3035009572538947e-34,9.098747185059884e-65,0.0
RZUH10,0.0599370937180639,-46.3740921673304,0.7129729656978394,0.7063834414973476,5.81160696071133,2.073578638852325,0.057596556026541804,1,0.0,1.0,0.0,3.785237088236898e-45
RZUH11,0.05019015724997235,-33.36881852038245,0.7731039055515581,0.5354847409649505,3.30558937800515,2.04746918261422,0.13996069887955698,1,0.0,0.9999990150769636,0.0,9.849230365471532e-07
RZUH12,0.0510281541695448,-40.0953246287139,0.71684040536174,-0.0639679390798326,0.879755889758943,2.06508959414844,0.0913669788067264,3,0.0,8.730108539652667e-61,0.0,1.0
RZUH13,0.0145507061024323,-50.05074207123235,0.815903786971188,-0.24553472573260698,0.6057361046056355,2.0790833263194397,0.014670004180692399,3,0.0,2.1183622853913456e-119,0.0,1.0
