site,EPS,BGNf,Hf,NDSI,rBA,ADI,AEI,pred,component1_prob,component2_prob,component3_prob
RZUG04,0.053898940961293496,-49.17004874626975,0.7082165717019745,0.749731397631626,6.991441806955505,2.07779634767319,0.032482864406245704,0,1.0,0.0,7.730703883727048e-186
RZUG05,0.03052658083251715,-49.4354198785846,0.8642034838217595,0.4058838209713795,2.37020161205388,2.078358985405555,0.0264189873860614,0,1.0,0.0,0.0
RZUG06,0.0457002388623464,-44.0848051434339,0.764597889870019,0.42604562096623,2.48489682053288,2.07916164873458,0.0129663163509721,0,1.0,0.0,0.0
RZUG07,0.0996448237298984,-46.2372818027359,0.744515661237996,0.771389608434527,7.74850870209551,2.079149437898,0.0136047749403241,0,1.0,0.0,6.620963052009534e-108
RZUG08,0.0588868986885072,-48.7316623594078,0.824501133476874,0.461205853239585,2.71199281214415,2.07922524748516,0.0116526934860446,0,1.0,0.0,0.0
RZUG09,0.0429756402865105,-50.7081237144092,0.800998144564436,0.514827887322822,3.12224847171039,2.07919939521124,0.0123895240398018,0,1.0,0.0,0.0
RZUG10,0.02781456354087615,-47.740025074117796,0.7871893428605006,0.495837968046951,2.96805599050293,2.078948728597585,0.01759845942060555,0,1.0,0.0,0.0
RZUG11,0.0746966996810489,-40.34758310746,0.544367461937331,0.944228425174841,34.8605616977805,2.06342036020029,0.100442308246717,2,1.009380455272776e-87,1.569362128198178e-18,1.0
RZUG12,0.06903987149979735,-39.4127070635014,0.591137869421287,0.937580628977429,31.0519077831158,2.074970226171035,0.05328494143007125,2,5.021779286035135e-68,3.154516083813319e-30,1.0
RZUG13,0.0347889552372667,-39.0831632182369,0.665204103019687,0.937512409534563,31.0063549434866,2.07750060765351,0.0347789129448353,2,5.4273856596939494e-70,1.5390937667595352e-34,1.0
RZUH02,0.0672529748713976,-35.068325551715745,0.746405058016222,0.9489553604695755,38.2574881860782,2.070008876083185,0.07668237258493604,1,1.8508216349197527e-125,0.9981921641005991,0.0018078358994006792
RZUH03,0.016633588364296452,-46.1015820388654,0.6345516576925755,0.7751503309903449,7.898288544142975,2.0792958825861847,0.00950862558428805,0,1.0,0.0,3.2073103255461506e-116
RZUH04,0.0359692878557311,-38.7998110052232,0.785056218719173,0.324270063260177,1.95976231221803,2.07929233900122,0.0096666057066741,0,1.0,0.0,0.0
RZUH05,0.103695210061628,-46.3587258345122,0.688893296798738,0.764066183857997,7.47695354868605,2.07885720652561,0.0187025828160787,0,1.0,0.0,2.7834092146540507e-125
RZUH06,0.0703787313057004,-49.8950668200845,0.741743459603757,0.691578275311547,5.48462750806633,2.07656244662822,0.0427043337653372,0,1.0,0.0,0.0
RZUH07,0.0294233947954847,-41.6663828716719,0.561290682233943,0.940649128289649,32.6979043839586,2.07810719531776,0.0293644518114447,2,1.3034164571499266e-76,5.33286752731688e-26,1.0
RZUH08,0.0428488259656318,-66.217929377345,0.882410732368141,-0.321162542839568,0.513818273791966,2.07943902114202,0.0012761293001508,0,1.0,0.0,0.0
RZUH09,0.0581145183548268,-36.1619000565401,0.582793105709174,0.977939605475731,89.6602099885278,2.0768539521417,0.0404572936148839,1,0.0,1.0,1.878215537854803e-300
RZUH10,0.0612255064477445,-48.733445043665895,0.776877039379978,0.6010402158768975,4.01306717200651,2.07903564253737,0.015356119693636799,0,1.0,0.0,0.0
RZUH11,0.0587509818285548,-40.21554524491695,0.7411874990074755,0.9028456720007489,19.6023410058239,2.07369559568485,0.05891808839850695,2,2.655794723266112e-22,0.0,1.0
RZUH12,0.0207696663282323,-40.7097728705332,0.622733765901362,0.12465676269133996,12.449672856455008,1.558274767872455,0.38813613239955086,0,1.0,0.0,0.0
RZUH13,0.034025839464822,-50.5706998069178,0.829226771165895,0.220669074612916,1.5663039087107,2.07927476623079,0.0101040393065013,0,1.0,0.0,0.0
