,site,20_5_component1_prob,20_5_component2_prob,20_5_component3_prob,20_5_component4_prob,20_5_component5_prob,17_20_component1_prob,17_20_component2_prob,17_20_component3_prob,17_20_component4_prob,8_17_component1_prob,8_17_component2_prob,8_17_component3_prob,5_8_component1_prob,5_8_component2_prob,5_8_component3_prob,XCOORD.y_x,YCOORD.y_x
52,RZUE12,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,3.471686903708261e-74,7.0412702649926375e-68,0.0,1.0,1.0,0.0,0.0,4955901.251,1946542.623
53,RZUE13,3.2258434714741183e-85,1.0,0.0,0.0,0.0,0.0,1.8587942353084e-18,0.0,1.0,0.9999828989943426,0.0,1.710100565736812e-05,1.0,0.0,0.0,4955901.251,1946142.623
54,RZUF02,9.88936958584267e-209,1.0,0.0,0.0,0.0,0.9999930642054204,6.935794580004368e-06,0.0,0.0,0.0,0.0,1.0,0.0,1.7852612475524534e-62,1.0,4956301.251,1950542.623
55,RZUF03,0.0,1.0,0.0,0.0,0.0,0.0,1.3199385480057298e-11,0.0,0.9999999999868008,0.989710976590905,0.0,0.0102890234090946,1.0,0.0,0.0,4956301.251,1950142.623
56,RZUF05,1.0,0.0,0.0,0.0,0.0,0.0,1.3043670279151366e-10,0.0,0.999999999869563,4.491695733952002e-05,0.0,0.9999550830426608,1.0,0.0,0.0,4956301.251,1949342.623
57,RZUF06,0.0,1.0,0.0,0.0,0.0,0.0,4.9851284144325974e-29,0.0,1.0,3.883144858940586e-07,0.0,0.9999996116855144,1.0,0.0,0.0,4956301.251,1948942.623
58,RZUF07,1.0,0.0,0.0,0.0,0.0,1.0,9.006238859981531e-33,9.775407130280382e-61,0.0,0.0,0.0,1.0,0.0,5.778734029376184e-173,1.0,4956301.251,1948542.623
59,RZUF08,0.0,1.0,0.0,0.0,0.0,0.0,1.071937434510155e-30,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,4956301.251,1948142.623
60,RZUF09,5.133778151989896e-44,0.0,1.0,0.0,0.0,7.201666346504933e-247,0.0,1.0,0.0,0.0,3.0056682957962165e-87,1.0,0.0,9.01505742686699e-84,1.0,4956301.251,1947742.623
61,RZUF10,0.0,1.0,0.0,0.0,0.0,0.0,4.214087537316526e-36,0.0,1.0,0.999999999999842,0.0,1.5844682465743134e-13,1.0,0.0,0.0,4956301.251,1947342.623
62,RZUF11,0.0,1.0,0.0,0.0,0.0,0.0,1.9989616528659407e-75,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,4956301.251,1946942.623
63,RZUF12,3.621359273304204e-141,0.0,0.0,0.0,0.0,1.0,5.0716326339576185e-18,9.01683266870356e-159,0.0,1.4087865465398665e-130,0.0,1.0,1.0,0.0,0.0,4956301.251,1946542.623
64,RZUF13,3.634348707967786e-248,0.0,0.0,0.0,0.0,0.9999999999811456,3.315429343363489e-61,1.88549899770672e-11,0.0,1.2379053320039344e-111,0.0,1.0,1.0,0.0,0.0,4956301.251,1946142.623
65,RZUG02,1.0,0.0,0.0,0.0,0.0,1.0,4.72708282603194e-38,1.3504257423294901e-45,0.0,0.0,0.0,1.0,0.0,1.6698243304924654e-196,1.0,4956701.251,1950542.623
66,RZUG03,1.486559031960675e-28,1.0,0.0,0.0,0.0,1.0,3.6091803535178604e-31,5.181531402975282e-75,0.0,0.0,1.1397597665743717e-233,1.0,0.0,8.125386563473785e-170,1.0,4956701.251,1950142.623
67,RZUG04,1.3264089568897256e-157,1.0,0.0,0.0,0.0,0.0,1.0,0.0,6.600497368850097e-60,1.0,0.0,1.902683684819585e-105,1.0,0.0,0.0,4956701.251,1949742.623
68,RZUG05,0.0,1.0,0.0,0.0,0.0,0.0,1.2697622481445924e-09,0.0,0.999999998730238,0.9990383241717916,0.0,0.0009616758282084,1.0,0.0,0.0,4956701.251,1949342.623
69,RZUG07,0.0,1.0,0.0,0.0,0.0,3.355093086910479e-289,1.0,0.0,6.169689877075842e-86,0.0037382693693786,0.0,0.9962617306306214,1.0,0.0,0.0,4956701.251,1948542.623
70,RZUG08,0.0,1.0,0.0,0.0,0.0,0.0,2.551869432126058e-05,0.0,0.9999744813056792,1.0,0.0,0.0,1.0,0.0,0.0,4956701.251,1948142.623
71,RZUG09,0.0,1.0,0.0,0.0,0.0,0.0,0.0142890100958678,0.0,0.985710989904132,0.9999998871503816,0.0,1.1284961856652097e-07,1.0,0.0,0.0,4956701.251,1947742.623
72,RZUG10,7.227720952063223e-15,0.9999999999999928,0.0,0.0,0.0,0.0,0.9999998710587986,0.0,1.2894120068019353e-07,1.7322718323359432e-06,0.0,0.9999982677281676,1.0,0.0,0.0,4956701.251,1947342.623
73,RZUG11,5.95538578588247e-130,0.0,0.0,0.0,0.0,1.7839671625013033e-19,1.0,0.0,0.0,0.9997593395201748,0.0,0.000240660479825,0.0,1.5693621282077013e-18,1.0,4956701.251,1946942.623
74,RZUG12,7.408040979483452e-14,0.9999999999999254,0.0,0.0,0.0,0.0,0.9991724032144876,0.0,0.0008275967855123,1.0,0.0,6.859064416984909e-98,0.0,3.154516083829368e-30,1.0,4956701.251,1946542.623
75,RZUG13,1.0,0.0,0.0,0.0,0.0,1.440357820499099e-58,1.3239084272951188e-221,1.0,0.0,0.0,1.297614268325436e-268,1.0,0.0,1.539093766762772e-34,1.0,4956701.251,1946142.623
76,RZUH02,2.50948907140686e-47,1.0,0.0,0.0,0.0,2.151453094384885e-09,0.9999999978485472,0.0,0.0,1.0,0.0,6.564329260215037e-184,0.0,0.9981921641006292,0.0018078358993709,4957101.251,1950542.623
77,RZUH03,0.0,1.0,0.0,0.0,0.0,0.0,0.9999997749723488,0.0,2.2502765132483213e-07,1.2117489146578884e-05,0.0,0.9999878825108534,1.0,0.0,0.0,4957101.251,1950142.623
78,RZUH04,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.785044093385609e-16,3.7579894607548583e-13,0.0,0.9999999999996244,1.0,0.0,0.0,4957101.251,1949742.623
79,RZUH05,0.0,1.0,0.0,0.0,0.0,0.0,7.369315956513606e-143,0.0,1.0,1.0,0.0,2.725281242669058e-84,1.0,0.0,0.0,4957101.251,1949342.623
80,RZUH06,4.71901169201868e-14,0.9999999999999538,0.0,0.0,0.0,0.0,1.0,0.0,1.9154825364093057e-36,0.1322109140265971,0.0,0.8677890859734025,1.0,0.0,0.0,4957101.251,1948942.623
81,RZUH07,1.0,0.0,0.0,0.0,0.0,6.55657544532747e-30,2.9933011658969513e-166,1.0,0.0,0.0,0.9999999868637348,1.3136265305600841e-08,0.0,5.332867527336129e-26,1.0,4957101.251,1948542.623
82,RZUH08,0.0,1.0,0.0,0.0,0.0,0.0,2.8342316578523503e-160,0.0,1.0,0.9999999999998908,0.0,1.0916204590326717e-13,1.0,0.0,0.0,4957101.251,1948142.623
83,RZUH09,3.579618901398964e-48,0.0,1.0,0.0,0.0,1.0,2.3035009572538947e-34,9.098747185059884e-65,0.0,2.6872582279570427e-11,0.0,0.9999999999731276,0.0,1.0,1.878215539805812e-300,4957101.251,1947742.623
84,RZUH10,1.0987116516650192e-181,1.0,0.0,0.0,0.0,0.0,1.0,0.0,3.785237088236898e-45,1.1563821213956342e-05,0.0,0.999988436178786,1.0,0.0,0.0,4957101.251,1947342.623
85,RZUH11,0.0022392781246757,0.997760721875323,0.0,0.0,0.0,0.0,0.9999990150769636,0.0,9.849230365471532e-07,1.0,0.0,2.075248605085304e-42,0.0,0.0,1.0,4957101.251,1946942.623
86,RZUH12,0.0,1.0,0.0,0.0,0.0,0.0,8.730108539652667e-61,0.0,1.0,0.999906211410128,0.0,9.378858987233116e-05,1.0,0.0,0.0,4957101.251,1946542.623
87,RZUH13,0.0,1.0,0.0,0.0,0.0,0.0,2.1183622853913456e-119,0.0,1.0,0.002040360531066,0.0,0.997959639468934,1.0,0.0,0.0,4957101.251,1946142.623
