site,BGNf,Hf,NDSI,rBA,ADI,pred,component1_prob,component2_prob,component3_prob
RZUH04,0.6945149196853573,0.7485787609499761,0.6492467031919302,0.04566083083143495,0.9995203914813198,1,4.0973929534856555e-49,0.9999999944920628,5.507937697478542e-09
RZUH05,0.5393154758915615,0.5496759127186748,0.10790106521373599,0.003116646133489139,0.7943664426731756,1,2.8128620539195485e-10,0.9999999997187139,7.149031469013546e-145
RZUH06,0.3893881608086456,0.737865580910501,0.401712677295469,0.017059388386459973,0.9909407720675345,1,1.2686809518753025e-38,1.0,1.5473566203618041e-22
RZUH07,0.5860982370097572,0.3071414479250745,0.9739889697116657,0.4918420462184561,0.9975370016135718,2,0.0,0.0,1.0
RZUH08,0.0,0.6634251226996273,0.21414340500821627,0.0069944398685543,0.9934405005771607,1,3.0538387907052867e-75,1.0,3.441793514831535e-39
RZUH09,0.6304668280008434,0.6449191742344762,0.6786679182594595,0.05176651864958826,0.9363079671226986,1,9.48505954083918e-75,0.9999999999825446,1.7455498996235847e-11
RZUH10,0.42538468336595026,0.7775739498380232,0.5942978054891562,0.0364826802218437,0.9955889767373636,1,4.125495386436214e-29,0.9999996200421324,3.799578677007503e-07
RZUH11,0.882749741741288,0.7713161834611428,0.29867454803219995,0.010888159058547005,0.8302654755779679,1,1.6276833621676408e-08,0.999999983723166,6.42055015472619e-110
RZUH12,0.6525279353808515,0.5908945022575889,0.42118162657142577,0.018461545145100636,0.9506758751405355,1,3.4624933106451926e-16,1.0,8.006397956193699e-37
RZUH13,0.38424652836971873,0.8429205312148216,0.29398969162816213,0.010648832230172364,0.9990955120106557,1,2.1509807582985288e-47,1.0,5.3666843793062955e-34
